sentence,sentiment
i first notice these shirt at country concert in october in el paso,0
seem like everyone be wear it,0
i must have be miss the new it thing,0
it catch my attention when saw the word along the sleeve of shirt,0
which be my favorite kind of shirt,1
i hate when customer have to pay for t shirt that just have logo in the small upper corner of the shirt,2
no design,1
example those marc ecko shirt with the rhino design print on the front,0
we have to pay to dollar for shirt with little detail,2
anyway the reason give it star be because the shirt be huge and over sized,2
i even get small and it be still overbig,2
the shirt fit like those basic scrub that be shape like square,1
the big the size person get the more square it get,0
doesnt get longer at the end of the shirt,0
its new day in age where people wear their cloth fit,0
or brand of dress shirt have fit version on the shirt,1
seem like the brand ariat be make for people with huge stomach,0
and they wan na keep it that way,2
because they only want certain type of people to wear their cloth,0
now that mention it its so obvious,0
now know why people make their own brand,0
sorry this turn into rant instead of review,0
someone please steal my idea d make brand where the logo use the sleeve and other part of the shirt,0
that would be the theme,0
clever know,0
lmfao,0
this shirt be gift for my big brother who apparently wear clothes beyond my price range because this shirt aint cheap,0
beautiful shirt fit well,1
just ready to find place to wear it in,0
im proud of it,0
super shirt with wonderful material,1
the only thing that would make this good be permanent press,1
very nice quality shirt,1
i love the shirt i ’ m fat,1
but have forget on ariat dress shirt like this fit good on large and wasn ’ t pay attention and buy an xl and it be just way too big and i ’ m ’ about if your about my size get large,2
perfect fit for my son,1
great look shirt,1
as expect from lariat,1
fit perfect,1
awesome shirt fit good than expect,1
nice quality very thick,1
wonderful shirt make with very high end material,1
need touch up press after dryer,0
look great just fit little baggy,1
this brand of shirt be the only brand buy,1
they starch up and press out real good,1
this shirt be just too long in the sleeve,0
i will order again,0
but one size small,2
wish they have more colored logo shirt,0
i love the solid color shirt,1
exactly as described,1
soft material,1
look very nice on,1
great stylish shirt love it,1
ive already order another in different color,1
very nice shirt will make great christmas gift,1
run big,2
exchange for small size,2
look amaze on him and the quality it ’ s good than expect,1
love it,1
great,1
fit absolutely perfect,1
fit great look great,1
love the shirt,1
just fit very tall men,0
it do not come in regular large or xl,2
excellent shirt,1
good quality,1
fit as advertised,1
i buy two,1
nice shirt,1
love the shirt,1
everything expect,1
however in my opinion shirt run little big,2
but not too much,2
my favorite shirt by far that own,1
it be little to big,2
fit great and the shirt look sharp,1
nice,1
perfect,1
would buy again,1
the logo on the sleeve look great,1
thanks,1
great quality and very comfortable,1
definitely would recommend,1
nice shirt,1
shirt be fire,0
me encanto,0
fit lil big on,2
but just right not tigh,0
good dress shirt and look real sharp,1
nice shirt,1
get number of compliment too,1
nice shirt,1
exactly what expect,1
super hemd passt wie erwartet hervorragend,0
verkäufer ist super nett und hilfsbereit,0
beantwortet fragen schnell und kümmert sich bei problemen,0
da könnten sich firmen aus deutschland eine scheibe von abschneiden,0
antworten innerhalb von ein paar stunden selbst be wochenende,0
super immer gern wieder,0
perfect fit,1
está demasiada larga,0
